Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
1,Ramón Ábila,ar ARG,AT,Colón,33-125,1989,1.4,0,0,0,,000,000,,,,0,0,Partidas,db5ee72d
2,Gonzalo Abrego,ar ARG,LT,Godoy Cruz,23-040,2000,2.9,1,5,2,400,175,070,020,050,,0,0,Partidas,de8bad41
3,Jonás Acevedo,ar ARG,LT,CA Huracán,26-010,1997,2.9,0,3,1,333,102,034,000,000,,0,0,Partidas,0b419c37
4,Guillermo Acosta,ar ARG,LT,Tucumán,34-108,1988,2.7,0,3,0,00,112,000,000,,,0,0,Partidas,1bae6597
5,Lautaro Acosta,ar ARG,LT,Lanús,34-339,1988,1.1,0,2,1,500,187,094,000,000,,0,0,Partidas,2a3af4d5
6,Lucas Acosta,ar ARG,G,Lanús,27-341,1995,1.0,0,0,0,,000,000,,,,0,0,Partidas,50f7c408
7,Luis Advíncula,pe PER,ZG,Boca Juniors,32-351,1990,3.0,0,2,1,500,067,033,000,000,,0,0,Partidas,cacadf4f
8,Brian Aguilar,ar ARG,ZG,Lanús,19-309,2003,0.3,0,0,0,,000,000,,,,0,0,Partidas,c263af80
9,Felipe Aguilar,co COL,ZG,Lanús,30-027,1993,0.6,0,0,0,,000,000,,,,0,0,Partidas,c285529f
10,Braian Aguirre,ar ARG,ZG,Lanús,22-203,2000,2.3,0,0,0,,000,000,,,,0,0,Partidas,74b396d8
11,Brian Aguirre,ar ARG,AT,Newell's OB,19-260,2003,0.4,0,4,3,750,923,692,000,000,,0,0,Partidas,edfebd8d
12,Jorge Agustín Rodríguez,ar ARG,LT,Estudiantes,27-154,1995,2.9,0,1,0,00,034,000,000,,,0,0,Partidas,ac30468d
13,Gabriel Alanís,ar ARG,LT,Defensa y Just,28-337,1994,0.8,0,2,0,00,250,000,000,,,0,0,Partidas,d9ebfcfa
14,Fernando Alarcón,ar ARG,ZG,Instituto Atlético Central Córdoba,28-245,1994,3.0,0,4,0,00,133,000,000,,,0,0,Partidas,b4c8e4c5
15,Lucas Albertengo,ar ARG,AT,Instituto Atlético Central Córdoba,32-017,1991,0.7,0,1,0,00,136,000,000,,,0,0,Partidas,383659ff
16,Brahian Alemán,uy URU,LT,Banfield,33-055,1989,3.0,0,8,3,375,267,100,000,000,,0,0,Partidas,32a7d080
17,Brian Alexis Leizza,ar ARG,ZG,Tigre,22-294,2000,1.0,1,1,1,1000,100,100,100,100,,0,0,Partidas,0b35bd75
18,Franco Alfonso,ar ARG,AT,River Plate,20-288,2002,0.4,0,1,0,00,243,000,000,,,0,0,Partidas,4a0383c0
19,Rodrigo Aliendro,ar ARG,LT,River Plate,32-000,1991,2.1,0,3,0,00,145,000,000,,,0,0,Partidas,8b259046
20,Tadeo Allende,ar ARG,AT,Godoy Cruz,23-361,1999,2.1,0,7,0,00,337,000,000,,,0,0,Partidas,75a66bed
21,Agustín Alonso,,LT,Platense,,,1.5,0,2,0,00,132,000,000,,,0,0,Partidas,ead5824a
22,Facundo Altamirano,ar ARG,G,San Lorenzo,26-332,1996,2.0,0,0,0,,000,000,,,,0,0,Partidas,84d5fd29
23,Francisco Álvarez,ar ARG,ZG,Barracas Central,22-355,2000,1.3,1,2,1,500,149,074,050,100,,0,0,Partidas,1990d38d
24,Juan Álvarez,ar ARG,LT,Colón,27-006,1996,0.6,0,0,0,,000,000,,,,0,0,Partidas,4c50934e
25,Juan Andrada,ar ARG,LT,Godoy Cruz,28-043,1995,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,af9d0aea
26,Mariano Andújar,ar ARG,G,Estudiantes,39-201,1983,3.0,0,0,0,,000,000,,,,0,0,Partidas,609cd867
27,Miguel Ángel Torrén,ar ARG,ZG,Argentinos Jun,34-188,1988,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,c6549bd1
28,Carlos Arce,ar ARG,LT,Barracas Central,32-153,1990,2.4,0,1,0,00,041,000,000,,,0,0,Partidas,4c49e1f1
29,Ignacio Arce,ar ARG,G,Platense,30-314,1992,3.0,0,0,0,,000,000,,,,0,0,Partidas,707fcc63
30,Lucas Arce,ar ARG,LT,Godoy Cruz,25-186,1997,1.7,0,1,0,00,060,000,000,,,0,0,Partidas,00345a70
31,Gabriel Arias,cl CHI,G,Racing Club,35-156,1987,3.0,0,0,0,,000,000,,,,0,0,Partidas,9f9cbfca
32,Franco Armani,ar ARG,G,River Plate,36-123,1986,3.0,0,0,0,,000,000,,,,0,0,Partidas,b3e42951
33,Blas Armoa,py PAR,LT,Tigre,23-013,2000,2.0,0,5,1,200,247,049,000,000,,0,0,Partidas,c0d97f5c
34,Carlos Arrua,py PAR,LT,Colón,25-201,1997,1.3,0,5,2,400,388,155,000,000,,0,0,Partidas,1c86f480
35,Santiago Ascacíbar,ar ARG,LT,Estudiantes,25-356,1997,2.6,0,7,2,286,265,076,000,000,,0,0,Partidas,e26fcca3
36,Luciano Aued,ar ARG,LT,CA Unión,35-352,1987,1.8,0,4,2,500,217,108,000,000,,0,0,Partidas,c877f303
37,Gabriel Ávalos,py PAR,AT,Argentinos Jun,32-127,1990,3.0,0,8,0,00,267,000,000,,,0,0,Partidas,b6781b67
38,Tomás Badaloni,ar ARG,AT,Tigre,22-290,2000,0.0,0,0,0,,000,000,,,,0,0,Partidas,d3a444aa
39,Cristian Báez,py PAR,ZG,Independiente,32-313,1990,1.5,0,0,0,,000,000,,,,0,0,Partidas,56d59ae0
40,Franco Baldassarra,ar ARG,LT,Platense,24-140,1998,2.6,1,6,2,333,232,077,017,050,,0,0,Partidas,f559d2d7
41,Guillermo Balzi,ar ARG,LT,Newell's OB,21-208,2001,0.6,0,0,0,,000,000,,,,0,0,Partidas,60194b77
42,Tiago Banega,ar ARG,LT,Arsenal,23-230,1999,2.4,0,1,0,00,041,000,000,,,0,0,Partidas,b8131112
43,David Barbona,ar ARG,LT,Defensa y Just,27-359,1995,3.0,1,1,1,1000,033,033,100,100,,0,0,Partidas,62eef061
44,Mateo Barcia,uy URU,LT,Independiente,21-362,2001,0.6,0,1,0,00,155,000,000,,,0,0,Partidas,a35ee3a5
45,Ezequiel Barco,ar ARG,ATLT,River Plate,23-324,1999,0.9,1,2,1,500,234,117,000,000,,1,1,Partidas,7fa737c4
46,Adam Bareiro,py PAR,AT,San Lorenzo,26-205,1996,2.9,1,10,1,100,345,034,000,000,,1,1,Partidas,afb7f0ea
47,Daniel Barrea,ar ARG,AT,Club Atlético Belgrano,21-209,2001,0.0,0,1,1,1000,9000,9000,000,000,,0,0,Partidas,5bf6b9f3
48,Diego Barrera,ar ARG,LT,Talleres,18-239,2004,0.4,0,0,0,,000,000,,,,0,0,Partidas,3ad28381
49,Sergio Barreto,ar ARG,ZG,Independiente,23-302,1999,2.0,0,2,1,500,100,050,000,000,,0,0,Partidas,0c14329b
50,Nahuel Barrios,ar ARG,LT,San Lorenzo,24-285,1998,2.2,0,3,0,00,136,000,000,,,0,0,Partidas,b2fabf7e
51,Pier Barrios,ar ARG,ZG,Godoy Cruz,32-230,1990,2.8,0,3,1,333,108,036,000,000,,0,0,Partidas,f910551d
52,Bautista Barros Schelotto,ar ARG,ZG,Gimnasia ELP,23-034,2000,0.0,0,0,0,,000,000,,,,0,0,Partidas,ab935d6a
53,Augusto Batalla,ar ARG,G,San Lorenzo,26-292,1996,1.0,0,0,0,,000,000,,,,0,0,Partidas,fc627681
54,Tomás Belmonte,ar ARG,LT,Lanús,24-265,1998,3.0,0,0,0,,000,000,,,,0,0,Partidas,9928bf1a
55,Lucas Beltrán,ar ARG,AT,River Plate,21-238,2001,0.2,0,0,0,,000,000,,,,0,0,Partidas,482d2bc3
56,Gastón Benavídez,ar ARG,ZG,Talleres,27-116,1995,3.0,0,0,0,,000,000,,,,0,0,Partidas,adc19df2
57,Guillermo Benítez,ar ARG,ZG,CA Huracán,29-070,1993,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,5a149253
58,Jorge Benítez,py PAR,AT,Colón,30-167,1992,1.7,1,5,3,600,296,178,020,033,,0,0,Partidas,f580b8e7
59,Marcelo Benitez,ar ARG,ZG,CC Córdoba,32-034,1991,3.0,0,3,1,333,100,033,000,000,,0,0,Partidas,6b6c72ac
60,Marcos Benítez,ar ARG,LT,Barracas Central,21-148,2001,2.2,0,1,1,1000,046,046,000,000,,0,0,Partidas,9f290743
61,Nicolás Bertolo,ar ARG,LT,Banfield,37-045,1986,1.5,0,2,0,00,130,000,000,,,0,0,Partidas,089f82b2
62,Gonzalo Bettini,ar ARG,ZG,Sarmiento,30-143,1992,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,485a6d78
63,Bruno Bianchi,ar ARG,ZG,Tucumán,33-364,1989,3.0,0,3,2,667,100,067,000,000,,0,0,Partidas,733d2db2
64,Octavio Bianchi,ar ARG,AT,Rosario Cent,27-134,1995,0.6,0,1,0,00,173,000,000,,,0,0,Partidas,d797920d
65,Juan Bisanz,ar ARG,LT,Banfield,21-172,2001,1.2,0,0,0,,000,000,,,,0,0,Partidas,7a012117
66,Nicolás Blandi,ar ARG,AT,San Lorenzo,33-034,1990,0.1,1,1,1,1000,1000,1000,100,100,,0,0,Partidas,b4519dd4
67,Brian Blasi,ar ARG,ZG,CC Córdoba,27-008,1996,2.8,0,0,0,,000,000,,,,0,0,Partidas,6acfdf47
68,Lucas Blondel,ar ARG,ZG,Tigre,26-155,1996,3.0,0,5,1,200,167,033,000,000,,0,0,Partidas,4b97076c
69,Roberto Bochi,ar ARG,LT,Instituto Atlético Central Córdoba,33-062,1989,2.7,0,0,0,,000,000,,,,0,0,Partidas,396970dd
70,Rodrigo Bogarín,py PAR,LT,Defensa y Just,25-268,1997,0.1,0,0,0,,000,000,,,,0,0,Partidas,5bc7c208
71,Luciano Boggio,it ITA,LT,Lanús,23-343,1999,1.3,0,2,2,1000,154,154,000,000,,0,0,Partidas,44b5be2b
72,Agustín Bolívar,ar ARG,LT,Gimnasia ELP,27-038,1996,1.0,0,0,0,,000,000,,,,0,0,Partidas,6aed6998
73,Fabián Bordagaray,ar ARG,AT,Club Atlético Belgrano,36-001,1987,0.1,0,0,0,,000,000,,,,0,0,Partidas,7f7a6fdf
74,Miguel Borja,co COL,AT,River Plate,30-021,1993,2.3,1,10,3,300,441,132,000,000,,1,1,Partidas,211dc5fd
75,Mauro Boselli,ar ARG,AT,Estudiantes,37-270,1985,2.5,1,8,3,375,320,120,013,033,,0,0,Partidas,284e865d
76,Walter Bou,ar ARG,AT,Vélez Sarsf,29-175,1993,2.0,2,3,2,667,151,101,067,100,,0,0,Partidas,b5143c97
77,Malcom Braida,ar ARG,LT,San Lorenzo,25-275,1997,3.0,0,2,1,500,067,033,000,000,,0,0,Partidas,7cc9bb66
78,Néstor Breitenbruch,ar ARG,ZG,Arsenal,27-156,1995,0.4,0,0,0,,000,000,,,,0,0,Partidas,44b130dc
79,Miguel Brizuela,ar ARG,ZG,Vélez Sarsf,26-042,1997,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,ac2206e1
